exact_match_pct,json_path,levenshtein_dist_mean,levenshtein_dist_median,levenshtein_norm_mean,levenshtein_similarity_pct,model_id,model_slug,model_type_guess,n_exact,n_scored,prompt_style,prompt_type,st_combined_all_four_pct,st_combined_caesura_field_pct,st_combined_end_field_pct,st_combined_mean_field_pct,st_combined_meter_field_pct,st_combined_meter_type_field_pct,st_combined_n_scored,st_combined_pred_parse_pct,st_combined_rhyme_field_pct,st_rhyme_n_scored,st_rhyme_relaxed_match_pct,task
83.2,results/round2/meter_only/zero_shot_meter_only_line_only.json,0.256,0.0,0.0258,97.419,/home/span9810_ato22/Senior-Thesis/sft_full/meter_only_lora/flan-t5-large_lora_20260413_210437/final_model_merged,round2/meter_only,seq2seq,416,500,line_only,zero_shot,,,,,,,,,,,,meter_only
0.0,results/round2/meter_only/zero_shot_rhyme_only_line_only.json,9.856,10.0,1.0,0.0,/home/span9810_ato22/Senior-Thesis/sft_full/meter_only_lora/flan-t5-large_lora_20260413_210437/final_model_merged,round2/meter_only,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round2/rhyme_only/zero_shot_combined_line_only.json,67.878,66.0,0.972,2.796,/home/span9810_ato22/Senior-Thesis/sft_full/rhyme_only_lora/flan-t5-large_lora_20260413_210437/final_model_merged,round2/rhyme_only,seq2seq,0,500,line_only,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,results/round2/rhyme_only/zero_shot_meter_only_line_only.json,9.726,10.0,1.0,0.0,/home/span9810_ato22/Senior-Thesis/sft_full/rhyme_only_lora/flan-t5-large_lora_20260413_210437/final_model_merged,round2/rhyme_only,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,,,meter_only
82.8,results/round2/rhyme_only/zero_shot_rhyme_only_line_only.json,0.592,0.0,0.0603,93.965,/home/span9810_ato22/Senior-Thesis/sft_full/rhyme_only_lora/flan-t5-large_lora_20260413_210437/final_model_merged,round2/rhyme_only,seq2seq,414,500,line_only,zero_shot,,,,,,,,,,500,82.8,rhyme_only
0.0,results/round3/combined_lora_r3_lr1e4_flan-t5-large_lora_20260415_184609/zero_shot_combined_line_only.json,11.802,12.0,0.1596,84.04,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/combined_lora_r3_lr1e4/flan-t5-large_lora_20260415_184609/final_model_merged,round3/combined_lora_r3_lr1e4_flan-t5-large_lora_20260415_184609,seq2seq,0,500,line_only,zero_shot,0.0,39.2,81.0,37.48,49.4,15.4,500,100.0,2.4,,,combined
0.0,results/round3/combined_lora_r3_lr1e4_flan-t5-large_lora_20260415_184609/zero_shot_meter_only_line_only.json,18.584,18.0,0.6637,33.629,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/combined_lora_r3_lr1e4/flan-t5-large_lora_20260415_184609/final_model_merged,round3/combined_lora_r3_lr1e4_flan-t5-large_lora_20260415_184609,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,,,meter_only
0.0,results/round3/combined_lora_r3_lr1e4_flan-t5-large_lora_20260415_184609/zero_shot_rhyme_only_line_only.json,69.076,69.0,0.9439,5.607,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/combined_lora_r3_lr1e4/flan-t5-large_lora_20260415_184609/final_model_merged,round3/combined_lora_r3_lr1e4_flan-t5-large_lora_20260415_184609,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round3/google_flan-t5-large/zero_shot_combined.json,29.828,28.0,0.4249,57.505,google/flan-t5-large,round3/google_flan-t5-large,seq2seq,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,2.6,0.0,,,combined
0.0,results/round3/google_flan-t5-large/zero_shot_meter_only.json,8.55,9.0,0.8944,10.556,google/flan-t5-large,round3/google_flan-t5-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,meter_only
