id,author,title
o5155-w0570,"William Mason","An ODE Performed in the Senate-House at Cambridge July 1, 1749, At the Installation of his Grace THOMAS HOLLES Duke of NEWCASTLE CHANCELLOR of the University."
pcc86-w0320,"‘Christian Carstairs’","To — Esq; Member of the Capillaire Club."
o5156-w0380,"John Perry","MALVERN SPA, 1757. Inscribed to Dr. WALL."
o5454-w0080,"Isaac Watts","SONG VIII. Praise to GOD for learning to Read."
o5152-w0310,"John Dyer","THE RUINS of ROME.  A POEM."
o5156-w0800,"Lewis Thomas","Captain T — of BATTEREAU'S Regiment in the Isle of SKIE to Captain P— at Fort AUGUSTUS."
o4985-w0380,"Christopher Smart","ODE ON ST. CECILIA's DAY."
bsb18-w0010,"Susanna Blamire","STOKLEWATH; OR, THE CUMBRIAN VILLAGE."
o4672-w0560,"Isaac Watts","THE REVERSE; ON THE View of some of my Friends remaining Comforts."
o4672-w0130,"Isaac Watts","THE Sufferings and Glories OF CHRIST. A SONG In Trisyllable Feet."
bsb18-w0440,"Susanna Blamire","COME, MORTALS, ENLIVEN THE HOUR."
oau90-w0020,"Thomas D'Urfey","An ODE TO THE QUEEN."
o4986-w0120,Anonymous,"TO THE SAME, AFTER HAVING RECEIVED FROM HER, FOR A WATCH, A HEART WROUGHT WITH HER OWN HAIR, AND INCLUDING HER NAME, AFFECTEDLY INCLOSED IN A NUMBER OF COVERS."
o4986-w0570,"John Hawkesworth","THE DEATH OF ARACHNE, AN HEROI-COMI-TRAGIC-POEM."
oau90-w0470,"Thomas D'Urfey","To Chloris: A SONG."
o4741-w0380,"Stephen Duck","An EPIGRAM."
ppo24-w0190,"John Pomfret","REASON: A POEM."
pdi12-w0070,"William Diaper","[Nereides:] Eclogue VI."
o4984-w0110,"John Delap","TO SICKNESS. ELEGY II."
n22cs-w0070,"Charlotte Smith (née Turner)","SONNET [07] VII. On the Departure of the Nightingale."
n22cs-w0420,"Charlotte Smith (née Turner)","SONNET [42] XLII. Composed during a Walk on the Downs, Nov. 1787."
o4984-w0540,"John Scott","ELEGY. WRITTEN AT THE APPROACH OF WINTER."
pma99-w0350,"Mary Alcock (née Cumberland)","THE LXIIID PSALM."
bao18-w0240,"Amelia Opie (née Alderson)","TO HENRY."
peh89-w0380,"Elizabeth Hands (née Herbert)","A SONG. [Far from the woods, alas, I rove]"
o5155-w0931,"William Shenstone","[Song]  II. DAPHNE'S Visit."
omp90-w0010,"Matthew Prior","A PINDARIQUE ON His Majesties Birth-Day. By Mr. PRIOR Sung before Their Majesties at WHITEHALL, The Fourth of November 1690. A Prophecy by APOLLO."
oat77-w0480,"Nahum Tate","The Beldam's Song."
pba35-w1320,"Mary Barber","To a Lady, who commanded me to send her an Account in Verse, how I succeeded in my Subscription."
o3794-w0310,"Vincent Bourne","[Translation] 1. THE GLOW-WORM,"
glb19-w0500,"William Lisle Bowles","SOUTHAMPTON WATER."
glb19-w0150,"William Lisle Bowles","THE RIVER CHERWELL."
bjl92-w0340,"Janet Little (later Richmond)","ON A GENTLEMAN'S PROPOSING TO TRAVEL 300 MILES TO SEE J—. H—. ESQ.'S CHILD."
pro75-w0270,"Mary Robinson (née Darby)","THOUGHTS on RETIREMENT."
o4987-w0830,"Samuel Whyte","THE RECANTATION. AN ODE."
pse03-w0310,"Sarah Fyge Egerton","The Invocation."
pmt18-w0140,"Mary Tighe (née Blachford)","Written at Rossana. November 18, 1799."
pik94-w0290,"Isabella Kelly (née Fordyce)","THE EAGLE, THE KITE, AND THE COCK. An Emblematic Fable, most respectfully addressed to the Right Hon. General C——y. Written in the year 1788."
o5157-w0110,"Thomas Cole","The GROTTO: An ODE to SILENCE."
o3900-w0540,"Rev. John Wesley","DIVINE LOVE. From the German."
o5153-w0180,"George Lyttelton, 1st Baron Lyttelton","To Mr. West at Wickham.  Written in the Year 1740."
o5157-w0540,"Sir James Marriott","ODE on Lyric POETRY."
bjl92-w0090,"Janet Little (later Richmond)","THE MONTH'S LOVE."
pgc18-w0010,"Georgiana Cavendish, Duchess of Devonshire","THE PASSAGE OF THE MOUNTAIN OF SAINT GOTHARD. TO MY CHILDREN."
glb19-w0280,"William Lisle Bowles",MUSIC.
o3428-w0010,"Joseph Addison","THE RESURRECTION A POEM."
o5154-w0430,"Elizabeth Carter","To a GENTLEMAN, On his intending to cut down a GROVE to enlarge his Prospect."
pmt18-w0290,"Mary Tighe (née Blachford)",Pleasure.
o4739-w0160,"Bertie Greatheed","TO ANNA MATILDA."
o5154-w0060,"Robert Lowth","An ODE. TO THE People of GREAT BRITAIN. In Imitation of the Sixth ODE of the Third Book of HORACE. Written in 1746."
pse03-w0490,"Sarah Fyge Egerton","Euterpe: The Lyrick Muse, On the Death of John Dryden, Esq; An ODE."
o5156-w1180,"Elizabeth Pennington","ODE to a THRUSH."
o5157-w0690,"Frederick II, King of Prussia","[An EPISTLE from the King of PRUSSIA, to Monsieur VOLTAIRE.]"
o5153-w0250,"George Lyttelton, 1st Baron Lyttelton","To the Same."
o3900-w0690,"Rev. Charles Wesley","HYMN of THANKSGIVING to the FATHER."
o5247-w0160,"Charlotte Lennox (née Ramsay)","ARDELIA to FLAVIA, An EPISTLE."
o4090-w0010,"William Congreve",ODE.
o5153-w0600,"Isaac Hawkins Browne","A PIPE of TOBACCO In Imitation of Six Several AUTHORS."
pik94-w0140,"Isabella Kelly (née Fordyce)","EXTEMPORE ON ARRIVING IN THE COUNTRY."
pye85-w0150,"Ann Yearsley (née Cromartie)","TO HER GRACE The Duchess Dowager of PORTLAND."
pma99-w0080,"Mary Alcock (née Cumberland)","THE HIVE OF BEES: A FABLE, WRITTEN IN DECEMBER 1792."
o4984-w0690,"George Bubb Dodington, Baron Melcombe","VERSES UNDER THE BUSTO OF COMUS IN A BUFFET AT HAMMERSMITH. E AUGUST MDCCL."
bjb18-w0760,"Joanna Baillie",HYMN.
bhw18-w0440,"Helen Maria Williams","TO JAMES FORBES, ESQ. Author of “The Oriental Memoirs,” WHO ASKED FOR SOME LINES OF MY HAND-WRITING ON LEAVING FRANCE, AFTER HIS CAPTIVITY AT VERDUN."
bjb18-w0330,"Joanna Baillie","SCHOOL RHYMES FOR NEGRO CHILDREN."
bhw18-w0010,"Helen Maria Williams","AN ADDRESS TO POETRY."
peh89-w0400,"Elizabeth Hands (née Herbert)",ABSENCE.
o4987-w0430,"John Scott","SONNET. TO DELIA."
peh89-w0050,"Elizabeth Hands (née Herbert)","ABSENCE AND DEATH. A PASTORAL."
o3776-w0010,"Mark Akenside","ODE I. Allusion to HORACE."
bao18-w0190,"Amelia Opie (née Alderson)","TO HENRY."
par19-w0120,"Ann Radcliffe (née Ward)",NIGHT.
o5157-w0043,"Mark Akenside","[Inscription]  IV."
o4987-w0060,"Sir James Marriott","ELEGY. ON THE DEATH OF A YOUNG LADY."
glb19-w0900,"William Lisle Bowles","EXHIBITION, 1807."
oat77-w0300,"Nahum Tate","Sliding on Skates in very hard Frost."
ojg27-w0460,"John Gay","FABLE [45] XLV. The Poet and the Rose."
o5398-w0010,"Robert Bloomfield","[THE FARMER'S BOY; A RURAL POEM.]"
ojg27-w0030,"John Gay","FABLE [02] II. The Spaniel and the Cameleon."
o3555-w0100,"Anna Laetitia Barbauld  (née Aikin)","HYMN to CONTENT."
bsb18-w0790,"Susanna Blamire","I'LL HAE A NEW COATIE."
o4985-w0400,"Joseph Warton","ODE TO LIBERTY."
o4985-w0050,"William Collins","ODE TO PEACE,"
pmp18-w0800,"Matthew Prior","Another Reasonable Affliction."
o4198-w0180,"Thomas Chatterton","HECCAR AND GAIRA AN AFRICAN ECLOGUE."
o4039-w0160,"Thomas Chatterton","THE ADVICE. ADDRESSED TO MISS M—— R——, OF BRISTOL."
o5089-w0120,"David Mallet","A FRAGMENT."
o4741-w0400,"Stephen Duck","FELIX and CONSTANCE. A POEM, taken from BOCCACE."
o3328-w0010,"Daniel Defoe","An ANSWER To The Tale of a Nettle."
bmb97-w0220,"(Mary) Matilda Betham",EDITHA
o5089-w0570,"Caleb Smith","AN EPITAPH,"
o4741-w0050,"Stephen Duck","GRATITUDE. A PASTORAL."
pba35-w0570,"Mary Barber","Stella and Flavia."
o5280-w0330,"George Monck Berkeley","THE AUTHOR. TO ARTHUR MURPHY, ESQ."
pba35-w0120,"Mary Barber","To Mrs. —"
bed98-w0310,"Eliza Day","MY LAST VISIT TO W — Y C — G, ON THE SICKNESS OF MRS. W — Y."
bed98-w0740,"Eliza Day","THE GOODNESS OF GOD."
oar96-w0350,"Elizabeth Rowe (née Singer)","TO STREPHON."
prc90-w0080,"Rebekah Carmichael (later Hay)","ON RECEIVING A POT OF THYME"
bah18-w0190,"Anne Hunter (née Home)","SONNET, AFTER THE DEATH OF LAURA."
o5125-w0420,"Mary Leapor","On DISCONTENT. To STELLA."
pjo50-w0170,"Mary Jones","To the same. Written at Fern-Hill, while dinner was waiting for her."
pmp18-w0380,"Matthew Prior","The Lady who offers her Looking-Glass to Venus."
o5125-w0070,"Mary Leapor","A SUMMER'S WISH."
pjo50-w0520,"Mary Jones","From New Lodge to Fern-Hill. In a very rainy Summer Season."
o3900-w1310,"Rev. Charles Wesley","HYMN for EASTER-DAY."
o4784-w0230,"Anne Finch (née Kingsmill), countess of Winchilsea","The Shepherd and the Calm."
o5156-w0400,"Joseph Giles","The ROBIN: An ELEGY."
o5454-w0350,"Isaac Watts","[MORAL SONG] II. Innocent Play."
clc03-w0010,"Lady Mary Chudleigh","On the Death of his Highness the Duke of Glocester."
o4784-w0660,"Anne Finch (née Kingsmill), countess of Winchilsea","The LYON and the GNAT."
o5156-w0050,"William Shenstone","ODE to HEALTH, 1730."
bsb18-w0840,"Susanna Blamire","O DONALD! YE ARE JUST THE MAN."
cac95-w0130,"Ann Batten Cristall","THE TRIUMPH OF SUPERSTITION. RAPHAEL AND IANTHE."
oat77-w0140,"Nahum Tate","The Surprizal."
oat77-w0510,"Nahum Tate","The Round."
ojg27-w0270,"John Gay","FABLE [26] XXVI. The Cur and the Mastiff."
o3794-w0280,"William Cowper","The PINE APPLE and the BEE."
o4539-w0010,"Daniel Defoe","[Ye true-born Englishmen proceed]"
bjb18-w0520,"Joanna Baillie","FY, LET US A' TO THE WEDDING. (AN AULD SANG NEW BUSKIT.)"
bhw18-w0600,"Helen Maria Williams","HYMN, WRITTEN AMONG THE ALPS."
o4984-w0080,"Gilbert West","INSCRIPTION ON A SUMMER-HOUSE BELONGING TO GILBERT WEST, ESQ. AT WICKHAM, IN KENT."
bjb18-w0170,"Joanna Baillie","LINES ON THE DEATH OF SIR WALTER SCOTT."
bhw18-w0250,"Helen Maria Williams","SONNET TO EXPRESSION."
pmc36-w0020,"Mary Chandler","To Dr. Oliver, Who corrected my Bath Poem."
o4987-w0670,"Rev Henry Harington the Younger","THE HOSPITABLE OAKE."
peh89-w0210,"Elizabeth Hands (née Herbert)","LEANDER AND BELINDA. A TALE."
o4987-w0220,Anonymous,"ODE TO MORNING."
o5154-w0670,"William Mason","MUSAEUS: A MONODY TO THE MEMORY of Mr. POPE. In Imitation of MILTON'S Lycidas."
psw11-w0050,"Jonathan Swift","THE DESCRIPTION OF A Salamander. Out of Pliny Nat. Hist. L. 10. C. 67 and L. 29 C. 4."
pse03-w0280,"Sarah Fyge Egerton","The Vision."
o5154-w0220,"Robert Bedingfield","The EDUCATION of ACHILLES."
o5153-w0010,"George Lyttelton, 1st Baron Lyttelton","THE PROGRESS of LOVE.  IN Four ECLOGUES."
pmp18-w1010,"Matthew Prior","Democritus and Heraclitus."
o5157-w0080,"William Whitehead","The LYRIC MUSE to Mr. MASON. On the Recovery of the Right Honourable the Earl of HOLDERNESSE from a dangerous Illness."
o3900-w0080,"Rev. John Wesley","SPIRITUAL SLUMBER. From the German."
o5153-w0440,"Robert Craggs Nugent, Earl Nugent","VERSES to CAMILLA."
o5164-w0010,"James Macpherson","FINGAL, AN ANCIENT EPIC POEM. In SIX BOOKS."
glb19-w0490,"William Lisle Bowles","ABBA THULE'S LAMENT FOR HIS SON PRINCE LE BOO."
o5125-w0660,"Mary Leapor","On SICKNESS."
pco62-w0100,"Mary Collier","ON The Marriage of GEORGE the Third. Wrote in the Seventy-Second Year of her Age."
pjo50-w0330,"Mary Jones","ANSWER to a LETTER From the Hon. Miss LOVELACE."
o5125-w0230,"Mary Leapor","The MISTAKEN LOVER."
o3900-w1150,"Rev. Charles Wesley","HYMN to the HOLY GHOST."
pmp18-w0590,"Matthew Prior","FOR The Plan of a Fountain, On which is The Effigies of the Queen on a Triumphal Arch, The Figure of the Duke of Marlborough, beneath, and The Chief Rivers of the World round the whole Work."
o4784-w0070,"Anne Finch (née Kingsmill), countess of Winchilsea","There's No To-Morrow, A FABLE imitated from Sir Roger L'Estrange."
o5152-w0280,"Samuel Johnson","PROLOGUE SPOKEN BY Mr. GARRICK, At the Opening of the Theatre in Drury-lane 1747."
o5156-w0640,"Matthew Green","The GROTTO. Printed in the Year 1732, but never published."
o5454-w0110,"Isaac Watts","SONG XI. Heaven and Hell."
clc03-w0250,"Lady Mary Chudleigh","On the Death of my Honoured Mother Mrs. Lee: A Dialogue between Lucinda and Marissa."
o4784-w0420,"Anne Finch (née Kingsmill), countess of Winchilsea","The King and the Shepherd.  Imitated from the French."
o5156-w0210,"William Shenstone","The EXTENT of COOKERY."
tgaen-wtrgl,"Thomas Gray","[Translation] From Tasso [Gerusalemme Liberata] Canto 14, Stanza 32-9"
bed98-w0150,"Eliza Day","THE THREE LAMPS; OR, THE HERMIT OF THE WOOD."
bed98-w0500,"Eliza Day","LINES Occasioned by my putting a Bee out of my Window one cold Morning in February, at the request of a Child."
oar96-w0110,"Elizabeth Rowe (née Singer)","A Pindarick POEM on HABBAKUK."
o5089-w0360,"Richard Glover","ADMIRAL HOSIER's GHOST."
o5089-w0730,"John Langhorne","CAESAR's DREAM, Before his Invasion of BRITAIN."
bmb97-w0060,"(Mary) Matilda Betham","INVITATION, To J. B. C."
o4741-w0210,"Stephen Duck","On MITES. To a LADY."
o3795-w0010,"William Cowper","[THE TASK, A POEM, IN SIX BOOKS.] BOOK I."
pba35-w0730,"Constantia Grierson (née Crawley)","To the Honourable Mrs. Percival, with Hutcheson's Treatise on Beauty and Order."
o5280-w0170,"George Monck Berkeley","TO MIRANDA, ON THE DEATH OF HER BROTHER-IN-LAW THE EARL OF L—."
pba35-w0360,"Mary Barber","A Letter for my Son to one of his School-fellows, Son to Henry Rose, Esq;"
bsb18-w0180,"Susanna Blamire",BRIDE-CAKE.
o5153-w0801,"Robert Craggs Nugent, Earl Nugent","EPIGRAM XII."
o4985-w0210,"John Brown","AN INSCRIPTION WRITTEN AT A FAVOURITE RETIREMENT IN MAY MDCCLVIII."
o5156-w0990,"William Taylor","Another on the same Subject, written with more Judgment, but fewer good Manners."
o4198-w0010,"Thomas Chatterton","TO A FRIEND."
pyl90-w0080,Anonymous,"An Answer to a Rebus."
bsb18-w0250,"Susanna Blamire","EDWIN AND ALICIA. A TALE."
o4784-w0820,"Anne Finch (née Kingsmill), countess of Winchilsea","PSALM the 137th, Paraphras'd to the 7th Verse."
o4672-w0370,"Isaac Watts","THE GLORIES of GOD Exceed all Worship."
bsb18-w0600,"Susanna Blamire","THE MEETING."
oau90-w0260,"Thomas D'Urfey","An ODE. To my much honored Friend Sir THOMAS GARRARD, Baronet, upon his Climacterical YEAR."
o4986-w0360,"Mary Darwall (née Whateley)","ODE TO MAY."
o4986-w0730,Anonymous,"THE EXCURSION."
pmp18-w0990,"Matthew Prior","TO THE Lady Elizabeth Harley, Since Marchioness of Carmarthen, On a Column of Her Drawing."
pmp18-w0640,"Matthew Prior","From the Greek."
o3900-w1280,"Rev. Charles Wesley","Congratulation to a Friend, upon Believing in CHRIST."
o5155-w0360,"Joseph Warton","The Revenge of AMERICA."
o5346-w0040,"Oliver Goldsmith","THE DOUBLE TRANSFORMATION: A TALE."
pmp18-w0210,"Matthew Prior","An ODE."
cbu86-w0260,"Robert Burns","TO A LOUSE, On Seeing one on a Lady's Bonnet at Church."
o5155-w0730,"William Markham","Written upon leaving a FRIEND'S House in WALES."
pcc86-w0160,"‘Christian Carstairs’","To a Brother of the Author's."
clc03-w0180,"Lady Mary Chudleigh","A Pindarick Ode."
o5156-w0590,"John Hervey, Baron of Ickworth","A SATIRE in the Manner of PERSIUS, in a Dialogue between ATTICUS and EUGENIO."
o5152-w0150,"Lady Mary Wortley Montagu (née Pierrepont)","An EPISTLE to Lord B —"
prc90-w0110,"Rebekah Carmichael (later Hay)","ON THE ST BERNARD'S CANARY BIRDS"
o4103-w0360,"Christopher Smart","THE JUDGMENT OF MIDAS. A MASQUE."
bed98-w0280,"Eliza Day","AT THE SAME PLACE."
pcm93-w0120,"Catherine Rebecca Grey, Lady Manners","To Adversity."
bah18-w0450,"Anne Hunter (née Home)",SONG.
tgaen-wodfc,"Thomas Gray","Ode on the Death of a Favourite Cat, Drowned in a Tub of Gold Fishes"
o5156-w1010,"William Taylor","FEMALE CAUTION."
pse03-w0500,"Sarah Fyge Egerton","Terpsichore: A Lyrick Muse, On the Death of John Dryden, Esq; extempore."
pmt18-w0300,"Mary Tighe (née Blachford)","Written for Her Niece S. K."
pse03-w0150,"Sarah Fyge Egerton","To Orabella, Marry'd to an old Man."
o5153-w0790,"Robert Craggs Nugent, Earl Nugent","EPIGRAM I."
bjb18-w0920,"Joanna Baillie","SELECT VERSES FROM THE 147TH PSALM."
o5157-w0350,"William Shenstone",ANSWER.
o3900-w0700,"Rev. Charles Wesley","HYMN to the SON."
o5157-w0700,"Sneyd Davies","At seeing Archbishop WILLIAMS'S Monument in CARNARVONSHIRE."
o4106-w0160,"Thomas Parnell","An Imitation of some FRENCH Verses."
glb19-w0740,"William Lisle Bowles","SUMMER EVENING AT HOME."
bjl92-w0550,"Janet Little (later Richmond)","A YOUNG LADY'S LAMENTATION FOR THE LOSS OF HER SISTER BY MARRIAGE."
yfs88-w0020,"Harriet Falconar","SLAVERY. A POEM."
glb19-w0310,"William Lisle Bowles","AT DOVER, 1786."
bjl92-w0100,"Janet Little (later Richmond)","DAMON AND PHILANDER."
pro75-w0030,"Mary Robinson (née Darby)","A PASTORAL ELEGY."
pba35-w1160,"Constantine Barber","A Letter sent to Mrs. Barber, at Tunbridge-Wells."
oat77-w0290,"Nahum Tate","The Disconsolate."
glb19-w0890,"William Lisle Bowles","SKETCHES IN THE EXHIBITION, 1805."
tgaen-wlojd,"Thomas Gray","[Lines Spoken by the Ghost of John Dennis at the Devil Tavern]"
o3555-w0090,"Anna Laetitia Barbauld  (née Aikin)","On a LADY's WRITING."
o3794-w0150,"William Cowper","ODE TO PEACE."
bhw18-w0180,"Helen Maria Williams","SONNET TO HOPE."
o4984-w0350,"Elizabeth Carter","WRITTEN EXTEMPORE ON THE SEA SHORE."
n22cs-w0230,"Charlotte Smith (née Turner)","SONNET [23] XXIII. By the same. To the North Star."
n22cs-w0660,"Charlotte Smith (née Turner)","Thirty Eight. Addressed to Mrs. H—y."
o4984-w0700,"Samuel Johnson","PROLOGUE SPOKEN BY MR. GARRICK, APRIL V. MDCCL. BEFORE THE MASQUE OF COMUS, ACTED AT DRURY-LANE, FOR THE BENEFIT OF MILTON'S GRAND-DAUGHTER."
pma99-w0110,"Mary Alcock (née Cumberland)","ON WHAT THE WORLD WILL SAY."
prc90-w0130,"Rebekah Carmichael (later Hay)","THE STAR OF EDEN VALE"
o4103-w0340,"Christopher Smart","CARE and GENEROSITY. A FABLE."
pcm93-w0100,"Catherine Rebecca Grey, Lady Manners",Virtue.
bah18-w0470,"Anne Hunter (née Home)","A MERMAID'S SONG."
bah18-w0020,"Anne Hunter (née Home)","ODE TO THE OLD YEAR, 1787."
pmp18-w0660,"Matthew Prior","ANOTHER [EPIGRAM]."
pjo50-w0490,"Mary Jones","LIFE. (Occasion'd by some lines upon Death.)"
o5155-w0340,"David Garrick","An ODE ON THE DEATH of Mr. PELHAM."
o5346-w0060,"Oliver Goldsmith",RETALIATION.
pmp18-w0230,"Matthew Prior","To CLOE Weeping."
cbu86-w0240,"Robert Burns","ON A SCOTCH BARD GONE TO THE WEST INDIES."
o5155-w0710,"Charles Parrott","ODE to a FRIEND wounded in a Duel."
o5125-w0590,"Mary Leapor","The CHARMS of ANTHONY."
pcc86-w0140,"‘Christian Carstairs’","To Lady H—n."
o5152-w0170,"Lady Mary Wortley Montagu (née Pierrepont)","A RECEIPT to Cure the Vapours.  Written to Lady J———n."
o4784-w0380,"Anne Finch (née Kingsmill), countess of Winchilsea","The CHANGE."
bsb18-w0270,"Susanna Blamire","A PETITION TO APRIL. WRITTEN DURING SICKNESS, 1793."
o4672-w0700,"Isaac Watts","AN EPITAPH ON King WILLIAM III. Of Glorious Memory, Who Died March 8th. 1701."
o4784-w0800,"Anne Finch (née Kingsmill), countess of Winchilsea","A LETTER to the same Person."
o4672-w0350,"Isaac Watts","THE Death of MOSES, Deut. xxxii. 49, 50. and xxxiv. 5, 6."
bsb18-w0620,"Susanna Blamire","AULD ROBIN FORBES."
tgaen-wstbe,"Thomas Gray","Stanzas to Mr Bentley"
oau90-w0240,"Thomas D'Urfey","Prologue spoken by Mr. HAINS to TRAPOLIN, or a Duke and no Duke."
o4986-w0340,"Mary Darwall (née Whateley)","LIBERTY: AN ELEGY."
o4986-w0710,Anonymous,"TO MYRTILIS. THE NEW YEAR'S OFFERING."
o5089-w0090,"Robert Lloyd","THE CIT's COUNTRY-BOX, 1757."
o4198-w0030,"Thomas Chatterton","ODE TO MISS H—L—D. 1768."
pba35-w0090,"Mary Barber","The Prodigy. A Letter to a Friend in the Country."
o5280-w0280,"George Monck Berkeley","INSCRIPTION FOR THE FRONT OF SINGLETON ABBEY. TO MISS MALTHUS'S, THE BELOVED, THE RESPECTED FRIENDS OF HIS EARLY YOUTH."
bjb18-w0280,"Joanna Baillie","THE MERRY BACHELOR, (FOUNDED ON THE OLD SCOTCH SONG OF “WILLIE WAS A WANTON WAG.”)"
o4984-w0370,"Elizabeth Carter","TO —. OCCASIONED BY AN ODE WRITTEN BY MRS. PHILIPS."
n22cs-w0210,"Charlotte Smith (née Turner)","SONNET [21] XXI. Supposed to be written by Werter."
n22cs-w0640,"Charlotte Smith (née Turner)","Peasant of the Alps. From the Novel of Celestina."
o4984-w0720,"Andrew Hervey Mills","ALLEN AND ELLA. A FRAGMENT."
pma99-w0130,"Mary Alcock (née Cumberland)","WRITTEN AT HARROWGATE."
par19-w0090,"Ann Radcliffe (née Ward)","TITANIA TO HER LOVE."
bao18-w0020,"Amelia Opie (née Alderson)","JULIA, OR THE CONVENT OF ST. CLAIRE."
o4987-w0580,Anonymous,"THE BELDAMES."
ojg27-w0180,"John Gay","FABLE [17] XVII. The Shepherd's Dog and the Wolf."
pba35-w1140,"Mary Barber","To a Lady, who valu'd herself on speaking her Mind in a blunt Manner, which she call'd being sincere."
tgaen-wtra6,"Thomas Gray","[Translation from Statius, Thebaid VI 646-88, 704-24]"
o3794-w0170,"William Cowper","THE MODERN PATRIOT."
o4106-w0140,"Thomas Parnell","The BOOK-WORM."
glb19-w0760,"William Lisle Bowles","THE SPIRIT OF NAVIGATION."
bjl92-w0570,"Janet Little (later Richmond)","TO A LADY WHO SENT THE AUTHOR SOME PAPER WITH A READING OF SILLAR'S POEMS."
glb19-w0330,"William Lisle Bowles","ON ACCIDENTALLY MEETING A LADY NOW NO MORE. WRITTEN MANY YEARS AFTER THE FOREGOING SONNETS."
bjl92-w0120,"Janet Little (later Richmond)","ALMEDA AND FLAVIA."
pro75-w0010,"Mary Robinson (née Darby)","A PASTORAL BALLAD."
o5156-w1030,"William Taylor","HULL ALE."
pse03-w0520,"Sarah Fyge Egerton","The Emulation."
pse03-w0170,"Sarah Fyge Egerton","A SONG."
pmt18-w0320,"Mary Tighe (née Blachford)","The Picture.  WRITTEN FOR ANGELA."
o5154-w0580,"John Hoadly","On a BAY-LEAF, pluck'd from VIRGIL'S Tomb near Naples. 1736."
bjb18-w0900,"Joanna Baillie","A HYMN FOR THE KIRK."
o5157-w0370,"William Shenstone","LYSANDER to CLOE."
o5157-w0720,"Edward Littleton","A Letter from Cambridge to a young Gentleman at Eton School."
o5164-w0030,"James Macpherson","THE WAR of CAROS: A POEM."
o5154-w0650,"John Brown","HONOUR. A POEM."
psw11-w0070,"Jonathan Swift","To Mrs. BIDDY FLOYD. Anno. 1708."
o5154-w0200,"Stephen Duck","The Two Beavers. A FABLE."
o5153-w0030,"George Lyttelton, 1st Baron Lyttelton","BLENHEIM.  Written at the University of Oxford in the Year 1727."
pmp18-w1030,"Matthew Prior","GUALTERUS DANISTONUS. Ad Amicos. IMITATED."
o5247-w0300,"Charlotte Lennox (née Ramsay)","SHALLUM to HILPAH, An EPISTLE. From the SPECTATOR."
o5153-w0460,"Robert Craggs Nugent, Earl Nugent","An INSCRIPTION on the TOMB, Raised to the memory of the author's father, and of others his ancestors."
n22cs-w0590,"Charlotte Smith (née Turner)","SONNET [59] LIX. Written during a Thunder Storm, September, 1791; in which the Moon was perfectly clear, while the Tempest gathered in various directions near the Earth."
bjb18-w0500,"Joanna Baillie","SONG, WOO'D AND MARRIED AND A',"
bjb18-w0150,"Joanna Baillie","THE HORSE AND HIS RIDER."
bhw18-w0270,"Helen Maria Williams","SONNET TO DISAPPOINTMENT."
o4987-w0650,"John Langhorne","LINES OCCASIONED BY LORD LYTLETON'S VERSES TO THE COUNTESS OF EGREMONT."
peh89-w0230,"Elizabeth Hands (née Herbert)",REFLECTION.
par19-w0340,"Ann Radcliffe (née Ward)","TO MELANCHOLY."
o4987-w0200,"Charles Sackville","ARNO's VALE. A SONG."
cac95-w0110,"Ann Batten Cristall",SONG.
o4688-w0150,"James Macpherson","[FRAGMENT] XV."
oat77-w0160,"Nahum Tate","Dialogue. Alexis and Laura."
pba35-w1290,"Mary Barber","Verses sent to a Lady, who took Delight in ridiculing a Person of very weak Under-standing, whom she reliev'd from Want."
oat77-w0530,"Nahum Tate","The Dream."
ojg27-w0250,"John Gay","FABLE [24] XXIV. The Butterfly and the Snail."
o4672-w0080,"Isaac Watts","THE Love of CHRIST ON His CROSS AND On His THRONE."
o4985-w0230,"Edward Jerningham","IL LATTE: AN ELEGY."
o4885-w0010,"Mary Pix (née Griffith)","VIOLENTA FROM BOCCACE"
o4986-w0090,"Samuel Henley","INSCRIPTION UNDER THE SHADE OF A LADY, GIVEN BY HER TO THE AUTHOR."
oau90-w0190,"Thomas D'Urfey","To Cynthia. A SONG."
ppo24-w0020,"John Pomfret","LOVE Triumphant over REASON. A Vision."
bmb97-w0040,"(Mary) Matilda Betham","THE LONELY WALK To W. S. B."
o5089-w0710,"Edward Moore","THE WOLF, SHEEP, AND LAMB."
o4741-w0230,"Stephen Duck","Occasion'd by a Dispute with a LADY."
o3795-w0030,"William Cowper","[THE TASK, A POEM, IN SIX BOOKS.] BOOK III."
pba35-w0710,"Mary Barber","To Mrs. Frances-Arabella Kelly."
o5280-w0150,"George Monck Berkeley","ELEGY TO THE MEMORY OF LADY JANE GRAY AND MARY QUEEN OF SCOTS. TO JUDITH LADY LAURIE."
pba35-w0340,"Mary Barber","Occasion'd by reading the Memoirs of Anne of Austria, written by Madam de Motteville. Inscrib'd to the Right Honourable the Countess of Hertford."
bed98-w0170,"Eliza Day","TO DELIA."
o4103-w0090,"Christopher Smart","IDLENESS. ODE VII."
tgaen-wdeho,"Thomas Gray","The Death of Hoel From Aneurin, Monarch of the Bards, extracted from the Gododin"
bed98-w0520,"Eliza Day","WILLIAM AND ELLEN."
tgaen-wepmm,"Thomas Gray","[Epitaph on Mrs Mason]"
oar96-w0130,"Elizabeth Rowe (née Singer)","A Poetical Question concerning the Jacobites, sent to the Athenians."
o5125-w0640,"Mary Leapor","The SETTING SUN. To SILVIA."
