id,author,title
prc90-w0120,"Rebekah Carmichael (later Hay)","ON THE BIRTH-DAY OF A YOUNG GENTLEMAN IN THE EAST INDIES"
o4103-w0350,"Christopher Smart","AN OCCASIONAL PROLOGUE and EPILOGUE TO OTHELLO,"
bah18-w0030,"Anne Hunter (née Home)","LA DOUCE CHIMERE."
bah18-w0460,"Anne Hunter (née Home)",SONG.
tgaen-wodec,"Thomas Gray","Ode on a Distant Prospect of Eton College"
pmp18-w0220,"Matthew Prior","An English BALLAD, On the Taking of NAMUR By the King of Great Britain, 1695."
o5125-w0580,"Mary Leapor","PROSERPINE'S RAGOUT."
o5155-w0700,"William Somervile",SONG.
cbu86-w0250,"Robert Burns","A DEDICATION TO G**** H******* Esq;"
pjo50-w0480,"Mary Jones","In Memory of the Right Hon. NEVIL Lord LOVELACE."
pmp18-w0670,"Matthew Prior","ANOTHER [EPIGRAM]."
o5155-w0350,"Joseph Warton","VERSES Written at MOUNTAUBAN in FRANCE, 1750."
o4784-w0390,"Anne Finch (née Kingsmill), countess of Winchilsea","Enquiry after Peace. A Fragment."
o5152-w0160,"Lady Mary Wortley Montagu (née Pierrepont)","EPILOGUE To MARY, Queen of SCOTS.  Design'd to be spoken by Mrs. OLDFIELD."
pcc86-w0150,"‘Christian Carstairs’","[IN shades! to pass the summer day]"
o4784-w0810,"Anne Finch (née Kingsmill), countess of Winchilsea",FRAGMENT.
bsb18-w0630,"Susanna Blamire","THE SOLDIER'S RETURN."
o4672-w0340,"Isaac Watts","The Law and Gospel."
bsb18-w0260,"Susanna Blamire","ADDRESS TO MISS J. GALE ON HER MARRIAGE WITH THE REV. F. GRAHAM, RECTOR OF ARTHURET."
o4986-w0700,"Samuel Johnson","TO MISS —, ON HER PLAYING UPON THE HARPSICORD IN A ROOM HUNG WITH SOME FLOWER-PIECES OF HER OWN PAINTING."
o4986-w0350,"Mary Darwall (née Whateley)","HYMN TO SOLITUDE."
oau90-w0250,"Thomas D'Urfey","An ELEGY On the Death of that true Perfection of Beauty and Goodness, the Lady ESSEX SPICKET, who dyed of the Small-Pox, immediately after her Marriage."
o5089-w0080,"Oliver Goldsmith","EDWIN AND ANGELINA. A BALLAD."
o4198-w0020,"Thomas Chatterton","TO THE BEAUTEOUS MISS H—L—D."
o5280-w0290,"George Monck Berkeley","THE FAIRIES. TO MISS GRIMSTON, YOUNGEST SISTER OF THOMAS GRIMSTON, ESQ. OF GRIMSTON, YORKSHIRE."
pba35-w0080,"Mary Barber","Written for my Son, and spoken by him at School to some of the Fellows of the College of Dublin, at a public Examination for Victors."
pmt18-w0170,"Mary Tighe (née Blachford)","Written at Killarney. July, 20 1800."
pse03-w0320,"Sarah Fyge Egerton","On the Author of Religion by Reason, or the Light of Nature a Guide to Divine Truth."
o4987-w0800,"Samuel Whyte","ELEGY II."
o5154-w0380,"John Hervey, Baron of Ickworth","An EPISTLE to a LADY."
tgaen-welcc,"Thomas Gray","Elegy Written in a Country Churchyard"
o5157-w0570,"Thomas Warton","A PANEGYRIC on ALE."
o3900-w0570,"Rev. Charles Wesley","A PRAYER under Convictions."
o5247-w0280,"Charlotte Lennox (née Ramsay)",SONG.
o5157-w0120,"Thomas Scott","The PICTURE of HUMAN LIFE. Translated from the GREEK of CEBES the THEBAN."
glb19-w0160,"William Lisle Bowles","ON ENTERING SWITZERLAND."
pro75-w0240,"Mary Robinson (née Darby)","To AURELIA on her GOING ABROAD."
bjl92-w0370,"Janet Little (later Richmond)","SYLVIA AND ARMEDA."
glb19-w0530,"William Lisle Bowles","SONG OF THE AMERICAN INDIAN."
cac95-w0090,"Ann Batten Cristall","VERSES WRITTEN IN THE SPRING."
pba35-w1310,"Mary Barber","On seeing the Captives, lately redeem'd from Barbary by His Majesty."
o3794-w0320,"Vincent Bourne","[Translation] 2. THE JACK DAW."
o4984-w0570,"James Fordyce","TRUE BEAUTY."
n22cs-w0410,"Charlotte Smith (née Turner)","SONNET [41] XLI. To Tranquillity."
bjb18-w0480,"Joanna Baillie","ADDRESS TO A STEAM VESSEL."
pma99-w0360,"Mary Alcock (née Cumberland)",HYMN.
n22cs-w0040,"Charlotte Smith (née Turner)","SONNET [04] IV. To the Moon."
o4984-w0120,"Thomas Hudson","ODE TO LIBERTY."
pmc36-w0180,"Mary Chandler","To Mrs. Jacob, On her Seat called, The Rocks, in Gloucestershire."
bao18-w0270,"Amelia Opie (née Alderson)","SECRET LOVE."
o4987-w0380,"Robert Lowth","THE GENEALOGY OF CHRIST, AS IT IS REPRESENTED ON THE EAST WINDOW OF WINCHESTER COLL. CHAPEL,"
o5089-w0690,"Mark Akenside","ON THE WINTER SOLSTICE. M. D.CC.XL."
pba35-w0690,"Mary Barber","Written upon the Rocks at Tunbridge, on seeing the Names of several Persons written there."
o5156-w1237,"John Hoadly","BOOK XII. Ep. 23."
omp92-w0010,"Matthew Prior","AN ODE, &c."
pdi12-w0040,"William Diaper","[Nereides:] Eclogue III."
bsb18-w0470,"Susanna Blamire","O BID ME NOT TO WANDER. Written when earnestly entreated to go to the South of France for the recovery of her health."
o4672-w0100,"Isaac Watts","Sincere Praise."
o5156-w0830,"John Straight","Answer to the foregoing, 1731."
o4672-w0550,"Isaac Watts","UPON The Dismal Narrative OF THE Afflictions of a Friend."
bsb18-w0020,"Susanna Blamire","THE LILY OF THE VALLEY, CHOSEN THE EMBLEM OF INNOCENCE."
oau90-w0440,"Thomas D'Urfey","The Law of Nature; A SONG set to an Excellent new Tune."
o4986-w0540,"Rev. Mr. Robertson","BARREAUX's CELEBRATED SONNET."
o4986-w0110,Anonymous,"TO A LADY, WITH AN ETUI."
oau90-w0010,"Thomas D'Urfey","A NEW ESSAY In Defence of VERSE, With a SATYR Upon the Enemies of POETRY."
o4179-w0010,"Hannah More","SLAVERY, A POEM."
pjo50-w0290,"Mary Jones","HOLT WATERS. A Tale. Extracted from the Natural History of Berkshire."
pmp18-w0060,"Matthew Prior","TO THE COUNTESS of DORSET. Written in her Milton."
o5155-w0540,"Nathaniel Cotton","To a Child of Five Years old."
cbu86-w0010,"Robert Burns","THE TWA DOGS, A TALE."
pmp18-w0430,"Matthew Prior","TO A Young Gentleman in Love. A TALE."
o5155-w0110,"John Hervey, Baron of Ickworth","FLORA to POMPEY."
o5125-w0390,"Mary Leapor","The LIBYAN HUNTER, a FABLE. Inscrib'd to the Memory of a late admir'd Author."
o4029-w0030,"Hannah Cowley (née Parkhouse)","A MONOLOGUE."
cbu86-w0440,"Robert Burns","A BARD'S EPITAPH."
o5152-w0320,"William Shenstone","THE SCHOOL-MISTRESS.  A POEM, In Imitation of Spenser."
pcc86-w0310,"‘Christian Carstairs’","To a young Lady who was going to India."
o4784-w0580,"Anne Finch (née Kingsmill), countess of Winchilsea","To a Friend, in Praise of the Invention of Writing Letters."
prc90-w0360,"Rebekah Carmichael (later Hay)",EPIGRAM
pba35-w0940,"Mary Barber","An Invitation to Edward Walpole, Esq; upon hearing he was landed in Dublin."
o4103-w0110,"Christopher Smart","ODE IX. The Author apologizes to a Lady, for his being a little man."
bah18-w0270,"Anne Hunter (née Home)","THE SONG OF THE WANDERING LADY, FOUNDED ON A TRUE STORY."
bse96-w0030,"Anna Seward","HOYLE LAKE, A POEM, WRITTEN ON THAT COAST, AND ADDRESSED TO ITS PROPRIETOR, SIR JOHN STANLEY."
o5125-w0040,"Mary Leapor","An ODE on MERCY: In Imitation of Part of the 145th Psalm."
o3900-w1320,"Rev. Charles Wesley","HYMN for ASCENSION-DAY."
pjo50-w0510,"Mary Jones",BIRTH-DAY.
o5155-w0690,"William Somervile","An Address to his Elbow-chair, new cloath'd."
o5125-w0410,"Mary Leapor","ADVICE to MYRTILLO."
pjo50-w0140,"Mary Jones","On one of her Eyes."
o5156-w0060,"William Shenstone","To a LADY of QUALITY, Fitting up her LIBRARY, 1738."
o4784-w0650,"Anne Finch (née Kingsmill), countess of Winchilsea","Friendship between EPHELIA and ARDELIA."
clc03-w0020,"Lady Mary Chudleigh","On the Vanities of this Life: A Pindarick Ode."
o5156-w0430,"Sneyd Davies",VACUNA.
o4784-w0200,"Anne Finch (née Kingsmill), countess of Winchilsea","The Owl Describing her Young Ones."
o5454-w0360,"Isaac Watts","[MORAL SONG] III. The ROSE."
bed98-w0770,"Eliza Day",RESIGNATION.
o3893-w0010,"John Dennis","THE EMPIRE Sav'd, AND EUROPE Deliver'd."
tgaen-woxst,"Thomas Gray","On L[or]d H[olland']s Seat near M[argat]e, K[en]t"
o5156-w0125,"William Shenstone","SONG VI. The Attribute of VENUS."
oar96-w0360,"Elizabeth Rowe (née Singer)","Paraphrase on Malachy 3. 14."
bed98-w0320,"Eliza Day","ON THE DEATH OF A YOUNG GENTLEMAN."
pcm93-w0080,"Catherine Rebecca Grey, Lady Manners",Gertrude.
tgaen-wtapr,"Thomas Gray","[Tophet] Inscription on a Portrait"
o4741-w0060,"Stephen Duck","A PASTORAL ELEGY."
o5089-w0540,"Samuel Johnson","THE WINTER's WALK."
bmb97-w0210,"(Mary) Matilda Betham","[SONETTO. DI GIOVANNI DELLA CASA.] SONNET, TO SLEEP. TRANSLATION"
o4039-w0150,"Thomas Chatterton","TO MISS B—SH, OF BRISTOL."
o4741-w0430,"Stephen Duck","An IMITATION Of the Sixteenth Ode Of the Second Book of HORACE."
o5089-w0110,"David Mallet","WILLIAM AND MARGARET."
pba35-w0110,"Mary Barber","To Dr. Richard Helsham. Upon my Recovery from a dangerous Fit of Sickness."
o5280-w0300,"George Monck Berkeley","THE IMMORTALITY OF VIRTUE. TO MRS. FRINSHAM."
pba35-w0540,"Mary Barber","To her Grace the Dutchess of Manchester, and Lady Diana Spencer, now Dutchess of Bedford. The humble Petition of little Jemmy Pen, at Tunbridge-Wells."
o4672-w0680,"Isaac Watts","A Funeral POEM ON Thomas Gunston Esq"
o4985-w0060,"William Collins","ODE TO MERCY."
o4985-w0430,"Joseph Warton","ODE TO A GENTLEMAN UPON HIS TRAVELS THROUGH ITALY."
o5155-w0940,"William Shenstone","On a ROOT-HOUSE."
pmp18-w0830,"Matthew Prior","On the Same."
o4986-w0690,"Samuel Johnson","A TRANSLATION OF THE LATIN EPITAPH ON SIR THOMAS HANMER."
glb19-w0930,"William Lisle Bowles","ON WILLIAM SOMMERS OF BREMHILL."
